WORK_STRAM,JOB_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL,new_name,SESSION_NAME
DWH,m_DWH_LOAD_DWH_CMS_REV_VT_SEC_STATUS_DESC,20-FEB-20,Daily,SSIS,DWH_CMS_REV_VT_SEC_STATUS_DESC,
DWH,m_DWH_CUST_PORTS_DESC,03-OCT-18,Daily,SSIS,m_DWH_CUST_PORTS_DESC,s_m_DWH_CUST_PORT_DESC
DWH,m_DWH_LOAD_DWH_CORR_STSTUS_DESC,17-DEC-18,Daily,SSIS,DWH_CORR_STSTUS_DESC,s_m_DWH_CORR_STATUS_DESC
DWH,m_DWH_LOAD_DWH_CUST_CALL_ORDER,16-SEP-18,Daily,SSIS,DWH_CUST_CALL_ORDER,s_m_DWH_CUST_COLL_ORDER
DWH,m_DWH_LOAD_DWH_CUST_DECLARATION_HEADER_CULG,13-SEP-18,Daily,SSIS,DWH_CUST_DECLARATION_HEADER_CULG,
DWH,m_DWH_LOAD_DWH_CUST_DECLARATION_ITEMS_CULG,13-SEP-18,Daily,SSIS,DWH_CUST_DECLARATION_ITEMS_CULG,s_m_DWH_CUST_DECLARATION_ITEMS
DWH,m_DWH_LOAD_DWH_CUST_OLD_IMPORTS_DETAIL,21-OCT-18,Daily,SSIS,DWH_CUST_OLD_IMPORTS_DETAIL,s_m_DWH_CUST_OLD_IMPORTS_DETAIL
DWH,m_DWH_LOAD_DWH_GOV_CONTRACTS_DETAIL,21-OCT-18,Daily,SSIS,DWH_GOV_CONTRACTS_DETAIL,s_m_DWH_GOV_CONTRACTS_DETAIL
DWH,m_DWH_LOAD_DWH_INSTALLMENT_PLANS_HEADER,30-DEC-18,Daily,SSIS,DWH_INSTALLMENT_PLANS_HEADER,s_m_DWH_FIN_INST_PLANS_HEADER
DWH,m_DWH_LOAD_DWH_INSTALLMENT_PLANS_ITEMS,30-DEC-18,Daily,SSIS,DWH_INSTALLMENT_PLANS_ITEMS,s_m_DWH_FIN_INST_PLANS_ITEMS
DWH,m_DWH_LOAD_DWH_VT_Amendment_Reason_Desc,04-JUL-18,Daily,SSIS,DWH_VT_Amendment_Reason_Desc,s_m_DWH_VT_AMENDMENT_REASON_DESC
DWH,m_DWH_LOAD_DWH_VT_DeReg_REASON_DESC,07-OCT-18,Daily,SSIS,DWH_VT_DeReg_REASON_DESC,s_m_DWH_VT_DEREG_REASON_DESC
GDM,m_DWH_LOAD_DWH_MOJ_DEALS,05-JAN-19,Daily,SSIS,DWH_MOJ_DEALS,s_m_DWH_MOJ_DEALS
GDM,m_DWH_LOAD_DWH_MOJ_PARTY,05-JAN-19,Daily,SSIS,DWH_MOJ_PARTY,s_m_DWH_MOJ_PARTY
GDM,m_DWH_LOAD_DWH_QWAEM_XBRL_DATA,21-MAR-19,Daily,SSIS,DWH_QWAEM_XBRL_DATA,s_m_DWH_QWAEM_XBRL_DATA
GDM,m_DWH_LOAD_DWH_QWAEM_XBRL_TAG_DESC,21-MAR-19,Daily,SSIS,DWH_QWAEM_XBRL_TAG_DESC,s_m_DWH_QWAEM_XBRL_TAG_DESC
GDM,m_DWH_LOAD_EXT_ETMAD_ORDERS_PAYMENT,11-SEP-19,Daily,SSIS,EXT_ETMAD_ORDERS_PAYMENT,s_m_DWH_EXT_ETMAD_ORDERS_PAYMENT
GDM,m_DWH_LOAD_MCI_CR,24-OCT-19,Daily,SSIS,MCI_CR,s_m_DWH_MCI_CR
GDM,m_DWH_LOAD_MCI_CR_ERRLG,24-OCT-19,Daily,SSIS,MCI_CR_ERRLG,s_m_DWH_MCI_CR_ERRLG
GDM,m_DWH_LOAD_MCI_DATA,09-OCT-19,Daily,SSIS,MCI_DATA,s_m_DWH_MCI_DATA
GDM,m_DWH_LOAD_MCI_ERRLOG,09-OCT-19,Daily,SSIS,MCI_ERRLOG,s_m_DWH_MCI_ERRLOG
GDM,m_DWH_LOAD_MCI_INQUIRY,20-OCT-19,Daily,SSIS,MCI_INQUIRY,s_m_DWH_MCI_INQUIRY
GDM,m_DWH_LOAD_QAWAEM_DATA,13-SEP-18,Daily,SSIS,QAWAEM_DATA,
GDM,m_DWH_LOAD_REG_MOMRA,16-OCT-19,Daily,SSIS,REG_MOMRA,s_m_DWH_REG_MOMRA
GDM,m_DWH_LOAD_SAP_INTERFACE_REP,09-OCT-19,Daily,SSIS,SAP_INTERFACE_REP,s_m_DWH_SAP_INTERFACE_REP
GSTG,m_GSTG_LOAD_EXT_ETMAD_ORDERS_PAYMENT,11-SEP-19,Daily,SSIS,EXT_ETMAD_ORDERS_PAYMENT,s_m_STG_EXT_ETMAD_ORDERS_PAYMENT
GSTG,m_GSTG_LOAD_MCI_CR,24-OCT-19,Daily,SSIS,MCI_CR,s_m_STG_MCI_CR
GSTG,m_GSTG_LOAD_MCI_CR_ERRLG,24-OCT-19,Daily,SSIS,MCI_CR_ERRLG,s_m_STG_MCI_CR_ERRLG
GSTG,m_GSTG_LOAD_MCI_DATA,09-OCT-19,Daily,SSIS,MCI_DATA,s_m_STG_TRM_ZDT_MCI_DATA
GSTG,m_GSTG_LOAD_MCI_ERRLOG,09-OCT-19,Daily,SSIS,MCI_ERRLOG,s_m_STG_MCI_ERRLOG
GSTG,m_GSTG_LOAD_MCI_INQUIRY,20-OCT-19,Daily,SSIS,MCI_INQUIRY,s_m_STG_MCI_INQUIRY
GSTG,m_GSTG_LOAD_QAWAEM,13-SEP-18,Daily,SSIS,QAWAEM,
GSTG,m_GSTG_LOAD_SAP_INTERFACE_REP,09-OCT-19,Daily,SSIS,SAP_INTERFACE_REP,s_m_STG_SAP_INTERFACE_REP
GSTG,m_GSTG_LOAD_ZDD_MOJ_DEAL,05-JAN-19,Daily,SSIS,ZDD_MOJ_DEAL,s_m_STG_TRM_ZDD_MOJ_DEAL
GSTG,m_GSTG_LOAD_ZDD_MOJ_PARTY,05-JAN-19,Daily,SSIS,ZDD_MOJ_PARTY,s_m_STG_TRM_ZDD_MOJ_PARTY
GSTG,m_GSTG_LOAD_ZDT_XBRL_DATA,21-MAR-19,Daily,SSIS,ZDT_XBRL_DATA,s_m_STG_TRM_ZDT_XBRL_DATA
GSTG,m_GSTG_LOAD_ZDT_XBRL_TAGMAP,21-MAR-19,Daily,SSIS,ZDT_XBRL_TAGMAP,s_m_STG_TRM_ZDT_XBRL_TAGMAP
STG,m_STG_DWH_LOAD_FKK_SEC_N,24-FEB-20,Daily,SSIS,FKK_SEC_N,
STG,m_STG_DWH_LOAD_TFK_SEC_STATUS_T,20-FEB-20,Daily,SSIS,TFK_SEC_STATUS_T,
STG,m_STG_DWH_LOAD_DFMCA_FORM_VERS,27-MAY-19,Daily,SSIS,DFMCA_FORM_VERS,
STG,m_STG_DWH_LOAD_EXT_CONTRACTS_DETAIL,21-OCT-18,Daily,SSIS,EXT_CONTRACTS_DETAIL,s_m_STG_REG_EXT_CONTRACTS_DETAIL
STG,m_STG_DWH_LOAD_STG_BP_MAIN_ACTIVITY,04-JUL-18,Daily,SSIS,STG_BP_MAIN_ACTIVITY,s_m_STG_BP_MAIN_ACTIVITY
STG,m_STG_DWH_LOAD_STG_TRM_ALL_TRANSACTIONS,22-NOV-18,Daily,SSIS,STG_TRM_ALL_TRANSACTIONS,s_m_STG_TRM_ALL_TRANSACTIONS
STG,m_STG_DWH_LOAD_STG_TRM_TRANSACTIONS,22-NOV-18,Daily,SSIS,STG_TRM_TRANSACTIONS,s_m_STG_TRM_TRANSACTIONS
STG,m_STG_DWH_LOAD_WEB_IMP_SAP,16-OCT-18,Daily,SSIS,WEB_IMP_SAP,s_m_STG_REG_WEB_IMP_SAP
