WORK_STRAM,SESSION_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL
DWH,s_m_DWH_CMS_REV_VT_SEC_STATUS_DESC,20-FEB-20,Daily,INFORMATICA
DWH,s_m_DWH_CUST_PORT_DESC,03-OCT-18,Daily,INFORMATICA
DWH,s_m_DWH_CORR_STATUS_DESC,17-DEC-18,Daily,INFORMATICA
DWH,s_m_DWH_CUST_COLL_ORDER,16-SEP-18,Daily,INFORMATICA
DWH,s_m_DWH_CUST_DECLARATION_ITEMS,13-SEP-18,Daily,INFORMATICA
DWH,s_m_DWH_CUST_OLD_IMPORTS_DETAIL,21-OCT-18,Daily,INFORMATICA
DWH,s_m_DWH_GOV_CONTRACTS_DETAIL,21-OCT-18,Daily,INFORMATICA
DWH,s_m_DWH_FIN_INST_PLANS_HEADER,30-DEC-18,Daily,INFORMATICA
DWH,s_m_DWH_FIN_INST_PLANS_ITEMS,30-DEC-18,Daily,INFORMATICA
DWH,s_m_DWH_VT_AMENDMENT_REASON_DESC,04-JUL-18,Daily,INFORMATICA
DWH,s_m_DWH_VT_DEREG_REASON_DESC,07-OCT-18,Daily,INFORMATICA
GDM,s_m_DWH_MOJ_DEALS,05-JAN-19,Daily,INFORMATICA
GDM,s_m_DWH_MOJ_PARTY,05-JAN-19,Daily,INFORMATICA
GDM,s_m_DWH_QWAEM_XBRL_DATA,21-MAR-19,Daily,INFORMATICA
GDM,s_m_DWH_QWAEM_XBRL_TAG_DESC,21-MAR-19,Daily,INFORMATICA
GDM,s_m_DWH_EXT_ETMAD_ORDERS_PAYMENT,11-SEP-19,Daily,INFORMATICA
GDM,s_m_DWH_MCI_CR,24-OCT-19,Daily,INFORMATICA
GDM,s_m_DWH_MCI_CR_ERRLG,24-OCT-19,Daily,INFORMATICA
GDM,s_m_DWH_MCI_DATA,09-OCT-19,Daily,INFORMATICA
GDM,s_m_DWH_MCI_ERRLOG,09-OCT-19,Daily,INFORMATICA
GDM,s_m_DWH_MCI_INQUIRY,20-OCT-19,Daily,INFORMATICA
GDM,s_m_DWH_REG_MOMRA,16-OCT-19,Daily,INFORMATICA
GDM,s_m_DWH_SAP_INTERFACE_REP,09-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_EXT_ETMAD_ORDERS_PAYMENT,11-SEP-19,Daily,INFORMATICA
GSTG,s_m_STG_MCI_CR,24-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_MCI_CR_ERRLG,24-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_TRM_ZDT_MCI_DATA,09-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_MCI_ERRLOG,09-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_MCI_INQUIRY,20-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_SAP_INTERFACE_REP,09-OCT-19,Daily,INFORMATICA
GSTG,s_m_STG_TRM_ZDD_MOJ_DEAL,05-JAN-19,Daily,INFORMATICA
GSTG,s_m_STG_TRM_ZDD_MOJ_PARTY,05-JAN-19,Daily,INFORMATICA
GSTG,s_m_STG_TRM_ZDT_XBRL_DATA,21-MAR-19,Daily,INFORMATICA
GSTG,s_m_STG_TRM_ZDT_XBRL_TAGMAP,21-MAR-19,Daily,INFORMATICA
STG,s_m_STG_TRM_FKK_SEC_N,24-FEB-20,Daily,INFORMATICA
STG,s_m_STG_TRM_TFK_SEC_STATUS_T,20-FEB-20,Daily,INFORMATICA
STG,s_m_STG_REG_EXT_CONTRACTS_DETAIL,21-OCT-18,Daily,INFORMATICA
STG,s_m_STG_BP_MAIN_ACTIVITY,04-JUL-18,Daily,INFORMATICA
STG,s_m_STG_TRM_ALL_TRANSACTIONS,22-NOV-18,Daily,INFORMATICA
STG,s_m_STG_TRM_TRANSACTIONS,22-NOV-18,Daily,INFORMATICA
STG,s_m_STG_REG_WEB_IMP_SAP,16-OCT-18,Daily,INFORMATICA
