,WORK_STRAM,SESSION_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL
0,STG,s_m_STG_TRM_ZDT_ERST,04-JUL-18,Daily,INFORMATICA
1,STG,s_m_STG_TRM_ZDT_ERTD,04-JUL-18,Daily,INFORMATICA
2,STG,s_m_STG_TRM_ZDT_MCI_ERRLOG,09-MAY-18,Daily,INFORMATICA
3,STG,s_m_STG_TRM_ZDT_OBJ_CASE,25-DEC-18,Daily,INFORMATICA
4,STG,s_m_STG_TRM_ZDT_SADAD_CHECK,02-DEC-18,Daily,INFORMATICA
5,STG,s_m_STG_TRM_ZDT_SADAD_LOG,27-NOV-18,Daily,INFORMATICA
6,STG,s_m_STG_TRM_ZDT_SADAD_PAYMT,27-NOV-18,Daily,INFORMATICA
7,STG,s_m_STG_TRM_ZDT_SADAD_RECON,28-NOV-18,Daily,INFORMATICA
8,STG,s_m_STG_TRM_ZDT_SADAD_RF_HD,02-DEC-18,Daily,INFORMATICA
9,STG,s_m_STG_TRM_ZDT_SADAD_RF_IT,24-DEC-18,Daily,INFORMATICA
10,STG,s_m_STG_TRM_ZDT_SADAD_RF_RES,18-FEB-19,Daily,INFORMATICA
11,STG,s_m_STG_TRM_ZDT_VCASE_HD,03-DEC-18,Daily,INFORMATICA
12,STG,s_m_STG_TRM_ZDT_VCASE_IT,03-DEC-18,Daily,INFORMATICA
13,STG,s_m_STG_TRM_ZDT_VTQA,04-JUL-18,Daily,INFORMATICA
14,STG,s_m_STG_TRM_ZDT_VTTD,04-JUL-18,Daily,INFORMATICA
15,STG,s_m_STG_TRM_ZDT_WHGD,04-JUL-18,Daily,INFORMATICA
16,STG,s_m_STG_TRM_ZDT_WHHD,04-JUL-18,Daily,INFORMATICA
17,STG,s_m_STG_TRM_ZDT_ZA14_L,29-JAN-19,Daily,INFORMATICA
18,STG,s_m_STG_TRM_ZDT_ZA90_L,15-APR-19,Daily,INFORMATICA
19,STG,s_m_STG_TRM_ZDT_ZA91_L,15-APR-19,Daily,INFORMATICA
20,STG,s_m_STG_TRM_ZDT_ZA92_L,15-APR-19,Daily,INFORMATICA
21,STG,s_m_STG_TRM_ZDT_ZA93_L,15-APR-19,Daily,INFORMATICA
22,STG,s_m_STG_TRM_ZDT_ZA94_L,15-APR-19,Daily,INFORMATICA
23,STG,s_m_STG_TRM_ZDV_ICR,04-JUL-18,Daily,INFORMATICA
24,STG,s_m_STG_TRM_ZKTE_RETURN,02-OCT-18,Daily,INFORMATICA
25,STG,s_m_STG_TRM_ZKTN_RETURN,10-OCT-18,Daily,INFORMATICA
26,STG,s_m_STG_TRM_ZDC_RGIC_EXCP,19-DEC-19,Daily,INFORMATICA
27,STG,s_m_STG_TRM_ZDGD_FORM10_HD,25-DEC-19,Daily,INFORMATICA
28,STG,s_m_STG_TRM_ZDGD_FORM11_HD,25-DEC-19,Daily,INFORMATICA
29,STG,s_m_STG_TRM_ZDGD_FZ12_HD,25-DEC-19,Daily,INFORMATICA
30,STG,,24-FEB-20,Daily,INFORMATICA
31,STG,,20-FEB-20,Daily,INFORMATICA
32,STG,s_m_STG_TRM_ZDT_ZA15_L,13-FEB-20,Daily,INFORMATICA
33,STG,s_m_STG_TRM_ADR2,04-JUL-18,Daily,INFORMATICA
34,STG,s_m_STG_TRM_ADR3,04-JUL-18,Daily,INFORMATICA
35,STG,s_m_STG_TRM_ADR4,04-JUL-18,Daily,INFORMATICA
36,STG,s_m_STG_TRM_ADR6,04-JUL-18,Daily,INFORMATICA
37,STG,s_m_STG_TRM_ADRC,04-JUL-18,Daily,INFORMATICA
38,STG,s_m_STG_TRM_ADRCT,04-JUL-18,Daily,INFORMATICA
39,STG,s_m_STG_TRM_BNKA,14-JAN-19,Daily,INFORMATICA
