WORK_STRAM,JOB_NAME,JOB_INIT_DATE,FREQUENCY,USED_TOOL,new_name,SESSION_NAME
STG,m_STG_DWH_LOAD_ZDT_ERST,04-JUL-18,Daily,INFORMATICA,ZDT_ERST,s_m_STG_TRM_ZDT_ERST
STG,m_STG_DWH_LOAD_ZDT_ERTD,04-JUL-18,Daily,INFORMATICA,ZDT_ERTD,s_m_STG_TRM_ZDT_ERTD
STG,m_STG_DWH_LOAD_ZDT_MCI_ERRLOG,09-MAY-18,Daily,INFORMATICA,ZDT_MCI_ERRLOG,s_m_STG_TRM_ZDT_MCI_ERRLOG
STG,m_STG_DWH_LOAD_ZDT_OBJ_CASE,25-DEC-18,Daily,INFORMATICA,ZDT_OBJ_CASE,s_m_STG_TRM_ZDT_OBJ_CASE
STG,m_STG_DWH_LOAD_ZDT_SADAD_CHECK,02-DEC-18,Daily,INFORMATICA,ZDT_SADAD_CHECK,s_m_STG_TRM_ZDT_SADAD_CHECK
STG,m_STG_DWH_LOAD_ZDT_SADAD_LOG,27-NOV-18,Daily,INFORMATICA,ZDT_SADAD_LOG,s_m_STG_TRM_ZDT_SADAD_LOG
STG,m_STG_DWH_LOAD_ZDT_SADAD_PAYMT,27-NOV-18,Daily,INFORMATICA,ZDT_SADAD_PAYMT,s_m_STG_TRM_ZDT_SADAD_PAYMT
STG,m_STG_DWH_LOAD_ZDT_SADAD_RECON,28-NOV-18,Daily,INFORMATICA,ZDT_SADAD_RECON,s_m_STG_TRM_ZDT_SADAD_RECON
STG,m_STG_DWH_LOAD_ZDT_SADAD_RF_HD,02-DEC-18,Daily,INFORMATICA,ZDT_SADAD_RF_HD,s_m_STG_TRM_ZDT_SADAD_RF_HD
STG,m_STG_DWH_LOAD_ZDT_SADAD_RF_IT,24-DEC-18,Daily,INFORMATICA,ZDT_SADAD_RF_IT,s_m_STG_TRM_ZDT_SADAD_RF_IT
STG,m_STG_DWH_LOAD_ZDT_SADAD_RF_RES,18-FEB-19,Daily,INFORMATICA,ZDT_SADAD_RF_RES,s_m_STG_TRM_ZDT_SADAD_RF_RES
STG,m_STG_DWH_LOAD_ZDT_VCASE_HD,03-DEC-18,Daily,INFORMATICA,ZDT_VCASE_HD,s_m_STG_TRM_ZDT_VCASE_HD
STG,m_STG_DWH_LOAD_ZDT_VCASE_IT,03-DEC-18,Daily,INFORMATICA,ZDT_VCASE_IT,s_m_STG_TRM_ZDT_VCASE_IT
STG,m_STG_DWH_LOAD_ZDT_VTQA,04-JUL-18,Daily,INFORMATICA,ZDT_VTQA,s_m_STG_TRM_ZDT_VTQA
STG,m_STG_DWH_LOAD_ZDT_VTTD,04-JUL-18,Daily,INFORMATICA,ZDT_VTTD,s_m_STG_TRM_ZDT_VTTD
STG,m_STG_DWH_LOAD_ZDT_WHGD,04-JUL-18,Daily,INFORMATICA,ZDT_WHGD,s_m_STG_TRM_ZDT_WHGD
STG,m_STG_DWH_LOAD_ZDT_WHHD,04-JUL-18,Daily,INFORMATICA,ZDT_WHHD,s_m_STG_TRM_ZDT_WHHD
STG,m_STG_DWH_LOAD_ZDT_ZA14_L,29-JAN-19,Daily,INFORMATICA,ZDT_ZA14_L,s_m_STG_TRM_ZDT_ZA14_L
STG,m_STG_DWH_LOAD_ZDT_ZA90_L,15-APR-19,Daily,INFORMATICA,ZDT_ZA90_L,s_m_STG_TRM_ZDT_ZA90_L
STG,m_STG_DWH_LOAD_ZDT_ZA91_L,15-APR-19,Daily,INFORMATICA,ZDT_ZA91_L,s_m_STG_TRM_ZDT_ZA91_L
STG,m_STG_DWH_LOAD_ZDT_ZA92_L,15-APR-19,Daily,INFORMATICA,ZDT_ZA92_L,s_m_STG_TRM_ZDT_ZA92_L
STG,m_STG_DWH_LOAD_ZDT_ZA93_L,15-APR-19,Daily,INFORMATICA,ZDT_ZA93_L,s_m_STG_TRM_ZDT_ZA93_L
STG,m_STG_DWH_LOAD_ZDT_ZA94_L,15-APR-19,Daily,INFORMATICA,ZDT_ZA94_L,s_m_STG_TRM_ZDT_ZA94_L
STG,m_STG_DWH_LOAD_ZDV_ICR,04-JUL-18,Daily,INFORMATICA,ZDV_ICR,s_m_STG_TRM_ZDV_ICR
STG,m_STG_DWH_LOAD_ZKTE_RETURN,02-OCT-18,Daily,INFORMATICA,ZKTE_RETURN,s_m_STG_TRM_ZKTE_RETURN
STG,m_STG_DWH_LOAD_ZKTN_RETURN,10-OCT-18,Daily,INFORMATICA,ZKTN_RETURN,s_m_STG_TRM_ZKTN_RETURN
STG,m_STG_DWH_LOAD_ZDC_RGIC_EXCP,19-DEC-19,Daily,INFORMATICA,ZDC_RGIC_EXCP,s_m_STG_TRM_ZDC_RGIC_EXCP
STG,m_STG_DWH_LOAD_ZDGD_FORM10_HD,25-DEC-19,Daily,INFORMATICA,ZDGD_FORM10_HD,s_m_STG_TRM_ZDGD_FORM10_HD
STG,m_STG_DWH_LOAD_ZDGD_FORM11_HD,25-DEC-19,Daily,INFORMATICA,ZDGD_FORM11_HD,s_m_STG_TRM_ZDGD_FORM11_HD
STG,m_STG_DWH_LOAD_ZDGD_FZ12_HD,25-DEC-19,Daily,INFORMATICA,ZDGD_FZ12_HD,s_m_STG_TRM_ZDGD_FZ12_HD
STG,m_STG_DWH_LOAD_ZDT_ZA15_L,13-FEB-20,Daily,INFORMATICA,ZDT_ZA15_L,s_m_STG_TRM_ZDT_ZA15_L
STG,m_STG_DWH_LOAD_ADR2,04-JUL-18,Daily,INFORMATICA,ADR2,s_m_STG_TRM_ADR2
STG,m_STG_DWH_LOAD_ADR3,04-JUL-18,Daily,INFORMATICA,ADR3,s_m_STG_TRM_ADR3
STG,m_STG_DWH_LOAD_ADR4,04-JUL-18,Daily,INFORMATICA,ADR4,s_m_STG_TRM_ADR4
STG,m_STG_DWH_LOAD_ADR6,04-JUL-18,Daily,INFORMATICA,ADR6,s_m_STG_TRM_ADR6
STG,m_STG_DWH_LOAD_ADRC,04-JUL-18,Daily,INFORMATICA,ADRC,s_m_STG_TRM_ADRC
STG,m_STG_DWH_LOAD_ADRCT,04-JUL-18,Daily,INFORMATICA,ADRCT,s_m_STG_TRM_ADRCT
STG,m_STG_DWH_LOAD_BNKA,14-JAN-19,Daily,INFORMATICA,BNKA,s_m_STG_TRM_BNKA
STG,m_STG_DWH_LOAD_BSIS,03-DEC-18,Daily,INFORMATICA,BSIS,s_m_STG_TRM_BSIS
STG,m_STG_DWH_LOAD_BUT000,04-JUL-18,Daily,INFORMATICA,BUT000,s_m_STG_TRM_BUT000
STG,m_STG_DWH_LOAD_BUT020,04-JUL-18,Daily,INFORMATICA,BUT020,s_m_STG_TRM_BUT020
STG,m_STG_DWH_LOAD_BUT021_FS,04-JUL-18,Daily,INFORMATICA,BUT021_FS,s_m_STG_TRM_BUT021_FS
STG,m_STG_DWH_LOAD_BUT050,04-JUL-18,Daily,INFORMATICA,BUT050,s_m_STG_TRM_BUT050
STG,m_STG_DWH_LOAD_BUT0BK,04-JUL-18,Daily,INFORMATICA,BUT0BK,s_m_STG_TRM_BUT0BK
STG,m_STG_DWH_LOAD_BUT100,04-JUL-18,Daily,INFORMATICA,BUT100,s_m_STG_TRM_BUT100
STG,m_STG_DWH_LOAD_CEPC,04-JUL-18,Daily,INFORMATICA,CEPC,s_m_STG_TRM_CEPC
STG,m_STG_DWH_LOAD_CRM_JCDS,04-JUL-18,Daily,INFORMATICA,CRM_JCDS,s_m_STG_TRM_CRM_JCDS
STG,m_STG_DWH_LOAD_CRM_JEST,04-JUL-18,Daily,INFORMATICA,CRM_JEST,s_m_STG_TRM_CRM_JEST
STG,m_STG_DWH_LOAD_DD07V,04-JUL-18,Daily,INFORMATICA,DD07V,s_m_STG_TRM_DD07V
STG,m_STG_DWH_LOAD_DFACTS,04-JUL-18,Daily,INFORMATICA,DFACTS,s_m_STG_TRM_DFACTS
STG,m_STG_DWH_LOAD_DFKKCOH,04-JUL-18,Daily,INFORMATICA,DFKKCOH,s_m_STG_TRM_DFKKCOH
STG,m_STG_DWH_LOAD_DFKKCOHI,28-NOV-18,Daily,INFORMATICA,DFKKCOHI,s_m_STG_TRM_DFKKCOHI
STG,m_STG_DWH_LOAD_DFKKCOHINCORR,29-NOV-18,Daily,INFORMATICA,DFKKCOHINCORR,s_m_STG_TRM_DFKKCOHINCORR
STG,m_STG_DWH_LOAD_DFKKKO,20-NOV-18,Daily,INFORMATICA,DFKKKO,s_m_STG_TRM_DFKKKO
STG,m_STG_DWH_LOAD_DFKKLOCKS,02-DEC-18,Daily,INFORMATICA,DFKKLOCKS,s_m_STG_TRM_DFKKLOCKS
STG,m_STG_DWH_LOAD_DFKKOP,20-NOV-18,Daily,INFORMATICA,DFKKOP,s_m_STG_TRM_DFKKOP
STG,m_STG_DWH_LOAD_DFKKOPK,20-NOV-18,Daily,INFORMATICA,DFKKOPK,s_m_STG_TRM_DFKKOPK
STG,m_STG_DWH_LOAD_DFKKRAPT,28-NOV-18,Daily,INFORMATICA,DFKKRAPT,s_m_STG_TRM_DFKKRAPT
STG,m_STG_DWH_LOAD_DFKKRH,28-NOV-18,Daily,INFORMATICA,DFKKRH,s_m_STG_TRM_DFKKRH
STG,m_STG_DWH_LOAD_DFKKZK,28-NOV-18,Daily,INFORMATICA,DFKKZK,s_m_STG_TRM_DFKKZK
STG,m_STG_DWH_LOAD_DFKKZP,28-NOV-18,Daily,INFORMATICA,DFKKZP,s_m_STG_TRM_DFKKZP
